date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:14	28983/28983	---M--	200	added ('OK')	image/png	date:Wed,%2010%20May%202017%2023:19:54%20GMT	http://sacheefragrances.com/wp-content/uploads/2014/08/Photo-2.png	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/uploads/2014/08/Photo-2.png	(from http://sacheefragrances.com/about-us/management/)
14:11:14	29267/29267	---M--	200	added ('OK')	image/png	date:Wed,%2010%20May%202017%2023:19:56%20GMT	http://sacheefragrances.com/wp-content/uploads/2014/08/Photo-2-150x150.png	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/uploads/2014/08/Photo-2-150x150.png	(from http://sacheefragrances.com/about-us/management/)
14:11:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2011%20Aug%202018%2008:41:21%20GMT	http://sacheefragrances.com/?p=8	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/index2df4.html	(from http://sacheefragrances.com/about-us/history/)
14:11:15	2358/2358	---MC-	200	added ('OK')	application/json	date:Sat,%2011%20Aug%202018%2008:41:20%20GMT	http://sacheefragrances.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsacheefragrances.com%2Fabout-us%2Fhistory%2F	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-json/oembed/1.0/embed1a8c.json	(from http://sacheefragrances.com/about-us/history/)
14:11:16	161104/161104	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2023:19:56%20GMT	http://sacheefragrances.com/wp-content/uploads/2014/08/bg_abt-1038x512.jpg	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/uploads/2014/08/bg_abt-1038x512.jpg	(from http://sacheefragrances.com/about-us/)
14:11:16	728/728	---MC-	200	added ('OK')	application/rss+xml	etag:%2288556f11a6c4b62a0868c1fb5e0d2d38%22	http://sacheefragrances.com/about-us/history/feed/	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/about-us/history/feed/index.html	(from http://sacheefragrances.com/about-us/history/)
14:11:17	2491/2491	---MC-	200	added ('OK')	text/xml	date:Sat,%2011%20Aug%202018%2008:41:22%20GMT	http://sacheefragrances.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsacheefragrances.com%2Fabout-us%2Fhistory%2F&format=xml	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-json/oembed/1.0/embed0f6a	(from http://sacheefragrances.com/about-us/history/)
14:11:18	26985/26985	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Aug%202018%2008:41:23%20GMT	http://sacheefragrances.com/fragrances/	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/fragrances/index.html	(from http://sacheefragrances.com/)
14:11:18	21060/21060	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Aug%202018%2008:41:23%20GMT	http://sacheefragrances.com/about-us/company-brief/	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/about-us/company-brief/index.html	(from http://sacheefragrances.com/)
14:11:19	2339/2339	---MC-	200	added ('OK')	application/json	date:Sat,%2011%20Aug%202018%2008:41:24%20GMT	http://sacheefragrances.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsacheefragrances.com%2Fflavors%2F	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-json/oembed/1.0/embed89bd.json	(from http://sacheefragrances.com/flavors/)
